Instance,Income
111994,27061.89864961027
111995,21801.07385428313
111996,45446.141898533715
111997,186666.22577863245
111998,15617.264571706568
111999,78197.84173914771
112000,117228.561912587
112001,64474.849860825256
112002,28702.43555347812
112003,134363.9573441611
112004,13374.389717748914
112005,153623.4002292149
112006,16732.71344246892
112007,104468.2001859927
112008,247970.77957764326
112009,80032.93834580401
112010,39066.49910998434
112011,20138.60896435096
112012,16519.729354718995
112013,18156.71021613524
112014,123490.51323828244
112015,42216.459872736195
112016,65335.3184328339
112017,26242.91002898496
112018,155585.99310204148
112019,44757.76570040845
112020,29610.943220629935
112021,25437.854676273128
112022,85223.0135047489
112023,51940.56074646453
112024,17231.6600497808
112025,88198.7680563374
112026,46592.470197828035
112027,78526.14326002271
112028,40574.56634926273
112029,46541.98939989788
112030,100919.35267427166
112031,240164.50127099772
112032,239128.27702706048
112033,77280.76799810978
112034,196470.75599283207
112035,108214.69954177729
112036,222060.47916896257
112037,77553.44156843305
112038,172021.92486656917
112039,34578.03786269562
112040,57845.238804440625
112041,54706.482387102165
112042,28037.764124990943
112043,75030.44860925314
112044,35793.638387456216
112045,21203.10757346377
112046,269279.0614330814
112047,23141.83340994947
112048,17801.110756876173
112049,73753.34024146532
112050,49760.35486810381
112051,72924.14713944327
112052,73850.10979390296
112053,274264.52241868805
112054,67059.22133850814
112055,20859.302194105258
112056,87857.27967894333
112057,27632.470240173578
112058,32824.64697782967
112059,44401.706614319686
112060,206790.2978652278
112061,147692.27176404485
112062,166068.31763237383
112063,66450.75666558635
112064,20410.66062718926
112065,53849.98023702919
112066,13214.99888210169
112067,112317.22707246535
112068,29474.155673665307
112069,128257.80060172676
112070,490797.39535708545
112071,54072.78627956299
112072,62140.60010939576
112073,42547.034823141206
112074,21256.83787770004
112075,10450.747155325756
112076,113321.87820313792
112077,560016.9647895939
112078,15418.899368178163
112079,146535.1577321991
112080,117379.1364387608
112081,540602.6592175473
112082,35396.54180237977
112083,51130.453425244516
112084,13526.460365940391
112085,53982.07135932105
112086,26160.240190279168
112087,47702.71336736508
112088,132126.4816140376
112089,64724.306969091325
112090,197873.9263769195
112091,26375.8566834734
112092,23942.217896833616
112093,72753.52067214822
112094,29469.57007589561
112095,61760.72772987602
112096,100865.7422305907
112097,18250.565569776154
112098,27270.15868836543
112099,24393.36898301542
112100,42793.07599670018
112101,101733.5773857364
112102,21081.166922205368
112103,109654.37151669252
112104,77558.25150985488
112105,41611.60976415989
112106,93774.41026054716
112107,113530.06007808883
112108,63590.892108419146
112109,19710.474467969423
112110,39373.95278301767
112111,31787.62401150808
112112,75199.63714384698
112113,80787.12547286131
112114,54605.25176047195
112115,22046.29926731404
112116,40042.046377586106
112117,85449.20713385174
112118,23171.36027110528
112119,29819.972178556698
112120,380697.5074763546
112121,117793.99563533755
112122,372592.9383429783
112123,216485.27749372146
112124,51433.10339833023
112125,218888.59289837908
112126,143629.1117131847
112127,12810.354233013019
112128,31789.997878919723
112129,101481.54428956576
112130,76350.33172336168
112131,23413.525921042637
112132,93034.43175424296
112133,281662.0320825755
112134,24343.205296054126
112135,16289.871799975419
112136,52064.85419253458
112137,18706.650558553458
112138,33369.947576194056
112139,66521.86573956301
112140,28842.61675665767
112141,48168.30203759596
112142,63754.5110488013
112143,120928.66866631649
112144,28046.2406319141
112145,22001.22209611335
112146,39696.55591550614
112147,177043.82159843782
112148,46563.3589850767
112149,84256.1373620964
112150,15422.15744624906
112151,343109.22495264007
112152,64323.09380107168
112153,55076.23512370192
112154,29453.447046708534
112155,99422.3193220268
112156,67764.56253512128
112157,97046.36013519607
112158,32830.59916554131
112159,312123.9828723796
112160,44980.063166215725
112161,116814.64752212702
112162,160302.37878440495
112163,16472.819797150845
112164,28019.80696808287
112165,166279.4064671268
112166,44575.18789590233
112167,28143.130403603427
112168,39636.12917830901
112169,316162.9926090806
112170,173648.90553556266
112171,36608.683605281374
112172,15684.047226111574
112173,103118.69709265314
112174,29639.434358573675
112175,31791.393106473406
112176,23635.521930256808
112177,122979.7226401184
112178,14883.229960379582
112179,23724.012610763173
112180,34519.75775853823
112181,12300.832202207315
112182,244679.91108204317
112183,99511.3197921608
112184,16269.000659883965
112185,226582.05575902504
112186,11962.95410118626
112187,113753.8495289874
112188,195635.60567277772
112189,37673.77756427166
112190,28886.633754042123
112191,102425.20373786685
112192,229855.22938870103
112193,33839.80918597471
112194,182919.57347826668
112195,30529.48610195932
112196,18338.981156825223
112197,226025.68151949084
112198,32860.36317245845
112199,40828.574663623214
112200,59868.705595827545
112201,343024.6058277943
112202,130084.15420437869
112203,23730.745761270817
112204,26018.986144444956
112205,12822.1222701488
112206,73669.98877442056
