Instance,Income
141053,298782.271
132958,48671.86115
165184,31553.68681
173714,53915.41158
121177,529811.6543
133584,228163.7741
153972,33235.50378
117121,82011.36061
120119,28737.42953
122643,84437.7453
155344,32319.29517
173925,51921.77161
166798,10642.82009
172412,46516.34895
173044,35830.21332
112728,198754.3029
123591,27625.53229
123722,25397.59424
132025,656875.7705
149066,563193.3471
151222,247613.9794
155081,58144.27128
157476,27059.78925
158614,28742.39248
159867,17776.94763
163345,39719.56866
165111,13242.38781
165266,34794.73817
169227,147640.61
173807,279780.8803
174882,155105.0945
175466,61541.29222
181852,44463.55206
183926,561731.1242
128430,323219.1068
126083,31427.87994
136390,60738.31001
141940,253669.9607
145091,55974.65963
147102,473599.2381
148607,204528.7661
161363,414000.135
161742,97822.77692
167108,82147.72105
169114,341571.74
173094,28901.45488
173527,1141363.995
173701,176008.9518
175084,317875.7935
175481,24029.18663
176334,34842.35248
177601,153718.663
177909,64143.49062
181514,35759.13359
117393,330212.1721
117404,31422.24684
119655,62233.63084
122113,169400.4206
127947,45582.1185
136238,58973.37388
139118,85365.45905
142166,92550.88441
147153,17077.8128
162132,659790.9804
171793,41126.37946
174906,36351.98884
176248,93975.52384
115618,335257.9718
144647,48870.96241
150050,533049.4606
156373,246381.7357
160166,18441.61095
160988,681798.698
163698,41147.12095
174544,39997.89156
175419,95276.07917
181687,33706.48687
185130,18377.26436
114887,177341.6461
116572,32856.0229
119338,289706.4165
120964,27569.04769
122771,55255.92861
125273,384232.2551
136537,87230.50333
138078,75915.54422
157539,17943.00792
159492,122450.6676
161735,81076.96893
162378,38310.04026
168679,48353.0906
170192,19537.34716
174727,27222.51965
114949,58214.83587
115334,381142.5151
122683,45673.89946
126643,37700.11512
130197,32059.63704
131847,948609.6019
132614,24108.59853
133036,207021.1952
140613,157859.0156
141252,100189.9437
150090,68236.0376
156708,85066.88342
156838,326476.2972
162784,37780.98947
166277,65635.51183
171452,17611.94749
178654,460082.9872
179330,95326.31676
180709,37071.45255
183865,77274.14589
184616,92747.50264
112574,90750.49213
118026,55504.26816
125985,77499.22495
131931,49967.32748
141602,34707.30071
144983,107278.7538
149049,79941.133
151248,51619.9732
153068,33554.97906
159946,120222.1329
161277,30817.83402
166817,325509.4786
171013,88101.99313
174769,61428.98764
177741,11480.44345
178242,149347.3445
179593,27303.2022
183470,29491.85424
184657,62400.49341
185149,44408.99677
116593,35092.40381
122004,52757.67624
127764,23200.62687
132119,22953.36554
138407,187778.8888
139912,30738.95368
140106,49901.83753
142656,28051.8044
147232,101552.5973
150137,20604.04211
151934,125450.8536
155578,105057.7029
163196,57943.89388
165622,236459.5283
172123,67581.83317
173522,282284.6704
175274,35038.65379
114456,96031.12624
115363,62070.00122
121060,613884.3455
122809,69427.76015
129750,27281.68265
130987,114514.0704
138231,23955.41004
139022,720989.7413
140292,58691.5195
144013,49581.07936
150173,432981.4241
154198,190415.7607
178287,31308.50562
180471,34488.99695
112827,34457.09599
115769,54368.15854
118276,59366.97507
136336,51054.46718
138340,95173.6266
144653,62865.84056
156357,96450.28695
160809,398433.6699
167215,62686.61701
168905,181757.2583
172046,26571.25925
173765,190460.1849
175783,68980.56017
113008,21381.74852
124061,83324.73027
158434,348064.023
158827,109822.8164
163140,28610.32222
173629,239883.1936
176425,56875.86348
178371,225643.3835
184363,54796.1409
168608,60101.14673
115643,19576.19893
115876,34583.72052
118114,88603.8784
121838,45287.51839
124319,52887.83357
130560,82144.02303
132392,265438.274
132676,80351.16188
133793,47264.77085
134949,37864.29748
136630,196290.8772
147348,709067.157
154089,306020.1943
160447,488637.2381
178219,137081.7527
183792,33463.10416
184529,479786.6998
119117,86211.48101
119400,160311.0763
121070,19251.91854
121713,39266.01254
132452,23985.82415
133326,24426.24579
133869,38253.37754
137680,86917.17691
151000,497971.5145
155090,27111.09196
161273,147372.417
163813,157013.0869
164075,28151.01488
172617,129465.6005
177045,65459.44504
180983,21539.52197
182175,37894.96456
112513,76323.28559
113290,77179.60878
118133,48113.68332
119727,150747.8224
120951,195945.685
122584,30567.20142
131905,158554.0708
137195,87599.31013
141441,88839.4351
142856,31856.49315
148558,103296.5173
151246,621424.827
152716,389668.8575
161851,20495.07968
164286,219920.1837
168510,651251.5329
172377,35009.95901
181315,30559.70586
112981,104135.4754
115150,84319.57446
118369,197184.7956
118491,95609.09884
118925,171333.3832
119418,332573.9282
123202,34086.02213
124807,145559.8222
125933,425369.9792
127982,72006.65757
128828,252733.4597
132888,84204.74361
135014,120975.5102
135411,66954.94948
137420,93769.10802
146371,277054.0282
146886,35467.80676
161814,274124.1189
165949,78884.83621
177524,47677.5413
177569,51267.46653
177735,40951.4179
139949,41514.84029
154338,112950.1833
154965,95668.91656
112724,66762.86529
117137,24771.19894
152192,274370.6075
133554,75393.73239
142212,56938.61448
161996,65527.70513
169383,32392.44364
122413,463992.8501
115128,17958.0736
151746,15983.39348
176858,238064.546
145863,21159.95308
175235,169571.2953
135785,13397.27039
177714,19884.98702
118219,113296.3505
148957,162436.088
155134,22957.10657
160859,89644.752
167575,61454.48981
175824,61511.91616
127850,73989.2041
142824,32381.84135
161414,144775.8064
112842,246530.6433
116015,106147.9376
117359,47565.72565
121267,155868.1407
124006,646243.3973
132489,465091.5486
132877,114271.963
140630,77029.11355
145458,224080.1119
149509,2333878.442
156063,92726.79821
163047,29035.41086
167122,60903.92596
167793,250553.1151
176870,20728.00606
182616,290973.0967
112026,59705.85903
112841,67666.46263
126210,105598.1269
131750,35237.02428
149137,15583.14039
154010,114499.162
156307,22381.47785
160932,66589.81327
162173,102500.3018
168796,118131.8194
170132,66240.73223
179067,216415.474
182107,45947.08275
150398,65022.20039
113494,41077.04387
115568,202719.1179
116167,19720.26623
124624,363124.5977
126845,32183.20865
132008,100874.7568
141918,294704.4869
145214,292309.0217
149524,107393.2521
155491,376248.2042
157227,89412.01324
158571,60395.42644
166325,314007.6961
172671,378066.9854
172762,336400.4396
179179,41448.20151
118354,501468.7182
119524,46394.89316
121141,30512.00034
128707,164078.8375
153535,155955.3963
156479,263154.7612
157711,30419.39919
160930,201284.5808
161052,221715.037
161264,791475.8934
169519,107008.0965
172848,135344.4572
184896,75082.02266
126035,411525.8571
127812,383226.2353
133331,287960.5555
138489,60262.52237
147239,48654.81511
147476,1501230.356
147515,151809.1045
148588,30041.87756
150162,42885.47622
164860,159250.1474
167211,69848.38086
181751,229386.5664
123286,27045.31731
128658,158542.6714
139576,36445.22025
143998,31149.43531
148810,103890.9892
162900,73749.41782
170617,487557.8074
172308,155370.3889
172970,121324.2029
114330,307101.2029
119846,566282.8697
125160,57791.87341
134888,114213.4725
165836,36388.79978
167583,152453.9608
178122,140570.3332
179770,206083.6243
181673,212629.9866
182836,166846.9896
113389,22955.09288
122442,52073.37963
128148,18947.33877
141255,13180.23231
143314,212167.6021
144604,48651.93316
151082,271155.9973
151332,49511.1968
152909,77864.07761
153740,219093.9619
158236,30217.35106
163756,379767.2758
164562,695813.0322
167025,50616.43276
174614,12831.30908
177499,104059.0218
184001,38615.11605
120549,611721.8871
121186,86363.19194
136865,56766.59733
142739,78291.39014
146308,33633.51445
148022,47014.87157
155341,199273.1701
155890,48013.13249
164104,97020.23867
167721,220564.4359
170945,52567.95699
175227,57718.82088
183582,200301.3794
114150,51641.67388
125964,25674.66791
127757,274411.5697
140784,355267.4125
143217,31901.86628
149682,248438.0744
156404,97270.62457
164355,72182.44226
164739,51449.86708
169427,335871.5409
174436,85290.56144
176192,64216.0196
119116,29175.62719
129361,70560.93562
135958,57499.7846
137423,25910.05787
141374,45983.41982
143784,253732.1514
152009,61869.19181
161146,112765.4598
163176,36254.08217
169250,21736.36256
178480,60460.86671
180957,149317.3235
158308,16783.75853
118643,133113.4427
135320,91060.07996
152284,41029.01135
178834,163374.5473
138098,49724.71571
130863,103189.498
131389,117004.6138
133078,460290.863
141167,222247.5193
141892,65407.29364
155048,22056.91911
157542,22855.51618
160003,148759.8711
179346,122814.2439
154504,149946.0581
156912,12510.99924
183559,42757.34447
120447,30671.0502
145501,88861.79439
119945,43184.44168
133663,122971.137
138582,388134.3082
151599,50202.55417
180266,60355.74909
124343,25192.14558
135631,21577.28059
150476,115972.3989
163349,37963.14432
163535,27744.5717
166622,284828.7898
170206,63292.2615
172693,34943.48778
116115,75107.58662
120742,75434.58299
124801,294945.1008
131336,77674.56692
141770,678677.1804
146995,44609.2617
150453,41184.23322
161311,892176.638
164726,45245.35665
165620,151583.4234
185118,135666.1349
116333,18952.22895
133274,37335.24585
140640,18972.04906
151506,269370.252
159891,137824.1372
161340,355469.9694
168076,179370.3722
171600,52092.73216
172373,24108.29207
176900,76759.84369
120972,77843.87965
123645,13027.25811
127225,41931.42366
128458,79340.554
132601,258676.0843
145900,222841.2984
151085,160462.0212
152131,153392.439
152359,116277.12
154737,91872.1419
155077,229123.3309
159957,286782.2448
162486,96901.27929
169691,178041.8812
170150,260157.6485
123511,22968.89199
137628,12880.79061
175566,34106.76998
175958,151909.1201
113245,114743.0446
120698,32465.71942
122969,528337.7963
128583,38500.12947
128588,82304.75881
128973,123668.0693
136250,596750.7373
145811,47995.71261
154520,1279984.231
155326,218427.9469
156615,131372.4947
157553,222427.8821
158351,67842.55337
174467,142943.9127
174708,353242.516
177388,124423.9789
112567,31593.87234
116077,148495.7519
121311,306017.0236
123660,25325.65291
126542,24333.14035
141710,29582.37064
159478,51952.97956
162642,73158.11208
167558,47850.71171
171468,234686.382
179493,56706.4789
182143,255582.6202
118598,43118.55548
120805,51113.40526
128374,590266.3426
144339,56675.02884
147491,23263.07426
154490,52866.95736
156914,90166.47719
170567,60157.68198
174326,103318.9745
178300,32046.1401
115294,409766.6286
118495,406095.8547
118517,78986.80761
128609,53120.71626
131103,84033.46038
139136,68977.72493
145278,37913.25853
145935,240083.3838
156107,55454.78253
166233,42173.20209
166920,91468.79928
173130,41678.11986
174197,222099.4236
181174,114237.9272
183524,268341.8526
117691,38317.34032
122037,26015.5896
133120,701241.4485
145070,127506.3712
146366,297885.34
149814,27941.1693
149818,203343.5334
154012,55710.1168
161894,26153.98147
167577,176435.6551
181320,213544.1602
124604,82299.31512
127875,58298.38818
128065,772795.1131
130343,42698.92252
130779,204979.2608
136057,253971.732
142480,150809.8661
158682,261834.797
162709,26085.06876
167593,68969.42927
172430,205663.3762
179964,458342.3362
115791,65508.74097
118018,12213.46572
126651,87143.21689
136516,29255.48875
139861,24736.15552
143834,75396.67696
150763,161460.8874
157744,98049.53332
162796,38063.92342
167864,102820.5095
112683,15102.92983
112897,49551.70961
112969,50048.31162
127919,19108.72397
139808,48985.03408
140391,20767.83642
149591,135132.3583
152239,67340.50234
153225,24959.7118
155977,1121511.363
157395,21406.98688
162204,35828.48686
168863,122654.0018
175658,269720.3452
178099,44599.25347
124356,142833.4647
128147,184626.3342
148111,20619.53364
148764,159541.899
149278,54464.46033
161724,85781.96367
115424,308418.2988
117964,500734.4091
123384,35187.67321
137388,20701.17918
138834,271098.8379
145027,122045.4058
171183,50043.35198
117557,51711.62731
125097,38106.93541
127732,20658.56893
133345,26892.28114
149014,37042.2126
153251,615112.4668
158641,67273.71604
167523,121869.3831
172189,217917.602
174504,34794.44604
165513,58154.59593
172052,253606.2614
174029,132679.8743
112898,191080.712
114147,101149.566
117116,72460.56099
118881,81623.54043
120812,28554.43974
127165,162532.3765
127929,39553.04546
133809,304486.4543
135971,44833.62391
152056,42566.41316
155699,50925.4294
159295,20235.78469
166069,337872.7108
172354,71023.29868
177406,27941.08713
181609,61270.60184
181866,102029.2852
182156,124993.4599
130119,34163.94555
149233,21282.85339
150555,473758.0392
180772,606293.5008
164550,118547.4795
117140,55836.93761
146136,19496.04088
156524,31002.00248
116655,41328.89119
113755,71394.05924
120166,911865.9118
156517,60336.99547
156739,385808.18
164283,51284.65427
167661,1262605.473
172379,55072.80723
177732,94611.52289
113243,83191.41169
128830,15158.17914
131177,55084.00604
134649,101553.2606
145315,35376.51837
149609,48404.3732
151932,180718.0649
154928,98734.16681
161961,296133.7611
167651,83124.36903
169870,47790.62009
170705,41932.25571
173568,164050.2751
184547,78081.97047
170070,55196.43866
172750,36776.38001
125532,157606.2318
179886,43882.95729
147771,7205.964456
127692,47112.86233
128604,23405.16836
172145,39866.62882
139198,144695.2421
136994,26994.91095
143928,113666.4372
180402,8803.662576
115392,35321.96993
126653,111829.0048
137977,40856.60733
141119,331535.3128
145784,96441.15111
146479,20840.81008
149434,269381.9205
151831,20728.71247
157440,75333.57663
162492,289297.0336
176200,497950.0673
115755,81372.06454
120301,109002.264
